Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,2,-7.5,Xavier,Arizona,0.5715,0.5527,21,30,13,4,0.5926,0.6547,0,0,10.4,14,35,24,0,0,15.21,22.48,40,21,114.8,117.6,99.5,94.8,0.587,0.5817,5,10,-1,8,4,6,9,4,6,8,6,8,0,0,7,15,155,205,11,2
1,32,5,Kansas,Purdue,0.575,0.5669,28,25,4,7,0.6525,0.6126,0,0,16.8,16.8,10,11,0,0,26.01,24.18,10,15,120.8,116.9,94.9,92.7,0.5811,0.5583,10,9,14,9,8,7,2,5,8,8,8,8,0,0,18,7,190,50.938,1,4
1,1,0,Oregon,Michigan,0.5527,0.5669,29,24,5,11,0.6426,0.6044,0,0,16.3,15.3,13,18,0,0,23.46,22.62,16,20,117.7,121.6,93.9,99,0.5683,0.5789,10,10,5,6,4,7,3,8,8,8,8,8,0,0,17,5,240,141.5,3,7
1,12,7,North Carolina,Butler,0.5816,0.5715,27,23,7,8,0.6469,0.6254,0,0,19.5,13.3,3,25,0,0,27.91,20.8,3,26,122.1,118,94.1,97.1,0.5901,0.5904,8,7,15,16,10,10,5,4,6,10,6,5,0,1,7,8,370,160.903,1,4
0,-11,1.5,UCLA,Kentucky,0.5527,0.5579,29,29,4,5,0.6244,0.6519,0,0,16,17.1,14,9,0,0,22.68,27.15,18,4,122.7,119.2,99.8,91.9,0.54,0.5863,10,11,8,12,6,8,4,4,14,8,14,8,0,0,13,11,181.875,370,3,2
1,3,-5,Kansas St,Kentucky,0.5789,0.5747,22,24,11,10,0.569,0.6153,0,0,9.2,12.5,46,22,0,0,14.75,20.39,44,18,112.2,116.4,97.4,96,0.5487,0.5945,6,7,-3,7,3,8,9,9,8,4,8,4,0,0,4,7,62.483,305,9,5
1,1,-2,Loyola-Chicago,Nevada,0.526,0.52,28,27,5,7,0.5952,0.6124,0,0,8.9,10.9,50,31,0,0,15.09,18.2,42,24,111.3,119.9,96.2,101.7,0.5122,0.5528,11,9,1,4,1,3,1,2,22,10,12,10,2,0,10,8,4.953,42.476,11,7
1,15,3,Florida St,Gonzaga,0.5755,0.5006,20,30,11,4,0.5699,0.5978,0,0,10.3,16,39,9,0,0,15.82,24.81,35,8,115.8,119.8,100,95,0.5451,0.5147,6,12,6,3,6,3,6,3,17,17,12,17,1,0,9,14,62.795,440,9,4
1,27,-6,Michigan,Texas A&M,0.5502,0.5747,28,20,7,12,0.6172,0.5959,0,0,14.6,10.4,14,38,0,0,23.19,16.91,10,30,115.9,111.2,92.7,94.3,0.5572,0.591,11,7,6,7,5,8,4,9,19,4,14,4,1,0,9,7,186,93.338,3,7
1,12,5.5,Villanova,West Virginia,0.5772,0.5789,30,24,4,10,0.6599,0.5942,0,0,21.5,15.5,1,10,0,0,31.4,21.77,2,13,127.4,119.1,96,97.4,0.5888,0.5682,9,8,23,7,13,7,3,7,7,8,7,8,0,0,13,15,285,190,1,5
