Win,Score,Spread,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,11,3.5,Seton Hall,NCST,0.5772,0.5755,21,21,11,11,0.5902,0.5642,0,0,11.5,9.2,28,47,0,0,17.34,15.12,26,41,116.3,116.4,99,101.3,0.5763,0.5493,6,8,7,7,7,6,7,5,18,16,8,11,2,1,5,5,56.032,73.33,8,9
1,11,3.5,Clemson,New Mexico St,0.5755,0.4905,23,28,9,5,0.6199,0.5775,0,0,13.2,7,18,69,0,0,20.26,13.59,19,55,113.8,108.4,93.5,94.8,0.5868,0.4957,7,10,4,0,5,1,6,2,9,24,9,19,0,1,10,11,4.738,62.029,5,12
1,4,9.5,Auburn,Charleston,0.5747,0.5023,25,26,7,7,0.6177,0.5645,0,0,12.9,3.1,19,117,0,0,20.63,4.73,16,120,118.2,109.9,97.5,105.1,0.5619,0.4846,7,11,8,-2,7,0,6,2,7,31,7,16,0,3,14,11,4.172,5.047,4,13
0,-5,4.5,TCU,Syracuse,0.5789,0.5755,21,20,11,13,0.5981,0.5772,0,0,12.5,8.7,21,53,0,0,18.92,13.59,22,54,120.6,107.7,101.7,94.1,0.5888,0.5839,6,5,-1,1,3,4,7,7,5,19,5,9,0,2,12,6,4.644,213.396,6,11
1,4,14.5,Michigan St,Bucknell,0.5502,0.4565,29,25,4,9,0.6153,0.5515,0,0,18,6.2,6,83,0,0,26.34,6.79,6,100,120,109.2,93.6,102.4,0.5362,0.4795,11,11,0,-2,2,0,4,2,16,38,16,23,0,3,14,10,215,42.763,3,14
1,5,1.5,Rhode Island,Oklahoma,0.5095,0.5789,25,18,7,13,0.6161,0.5719,0,0,10.9,9.6,32,42,0,0,14.38,14.42,49,47,111.7,115.1,97.3,100.7,0.552,0.5734,8,3,2,6,3,6,4,6,12,6,12,6,0,0,16,9,102.988,320,7,10
1,22,21,Duke,Iona,0.5755,0.4807,26,20,7,13,0.638,0.5299,0,0,19.5,3.3,3,114,0,0,29.12,2.86,3,134,122.6,110.2,86.1,107.4,0.5845,0.4968,8,7,11,-2,7,0,3,2,9,44,9,19,0,5,11,5,270,71.486,2,15
1,23,27.5,Duke,North Dakota St,0.5672,0.4573,29,18,5,15,0.6701,0.4954,0,0,21.7,-1.5,3,193,0,0,31.99,-3.2,3,199,120.1,106.6,88.1,109.8,0.6143,0.4828,9,9,19,-3,12,0,5,3,9,35,9,15,0,4,9,5,250,4.987,1,16
0,-15,-1.5,VCU,UCF,0.5044,0.5456,25,23,7,8,0.6086,0.6086,0,0,10.4,9.7,36,42,0,0,15.69,14.58,37,46,104.3,110.3,88.6,95.7,0.5482,0.5622,11,8,2,3,2,3,2,3,14,13,14,8,0,1,12,7,82.182,5.708,8,9
0,-4,7,Mississippi St,Liberty,0.5652,0.4688,23,28,10,6,0.6083,0.5493,0,0,13,7.2,22,62,0,0,20.68,10.82,21,63,117.4,110.6,96.7,99.7,0.5849,0.4581,7,10,1,2,4,1,7,0,6,28,6,18,0,2,9,8,5.106,4.991,5,12
1,14,10,Virginia Tech,St Louis,0.5672,0.5044,24,23,8,12,0.6053,0.5502,0,0,16.6,4.5,11,98,0,0,24.47,6.27,11,104,118.4,102.6,94,96.3,0.5571,0.5137,7,8,4,0,5,2,6,4,14,36,14,16,0,4,9,6,51.143,3.839,4,13
1,2,3.5,Maryland,Belmont,0.5665,0.4742,22,26,10,5,0.6017,0.5788,0,0,12.1,8.9,28,48,0,0,19.98,13.07,24,54,113.8,114.8,93.8,101.8,0.58,0.4863,6,11,3,0,5,1,7,2,11,19,6,19,1,0,7,14,87.375,6.315,6,11
1,5,7,LSU,Yale,0.5652,0.518,26,22,6,7,0.6249,0.5774,0,0,12.9,6.3,24,76,0,0,20.97,8.59,18,82,118.5,111.7,97.5,103.1,0.5709,0.5098,9,9,10,-1,6,0,2,1,7,17,7,12,0,1,10,8,4.301,53.927,3,14
0,-10,5.5,Louisville,Minnesota,0.5672,0.5665,20,21,13,13,0.5929,0.5788,0,0,13.9,8,18,55,0,0,20.97,14.46,17,47,113.4,110.7,92.4,96.2,0.5994,0.5683,4,5,-1,0,4,4,9,8,20,17,10,7,2,2,6,6,33.928,17.391,7,10
1,11,17.5,Michigan St,Bradley,0.5665,0.4999,28,20,6,14,0.6457,0.5048,0,0,19.8,-0.6,4,175,0,0,31.36,-0.36,4,165,121.7,100.9,90.4,101.2,0.5817,0.4835,10,9,13,0,8,0,3,0,12,51,7,11,1,8,13,4,125,3.919,2,15
1,38,28.5,Gonzaga,Fairliegh Dickinson,0.5296,0.4538,30,20,3,13,0.6432,0.4732,0,0,22.8,-1.2,2,188,0,0,32.79,-4.25,2,208,125.1,106.2,92.3,110.4,0.5537,0.4455,11,10,5,0,4,0,3,0,15,59,15,14,0,9,21,8,380,12.777,1,16
0,-9,2.5,Syracuse,Baylor,0.5672,0.5826,20,19,13,13,0.581,0.5653,0,0,10.9,9.8,33,41,0,0,16.3,15.29,35,41,110.2,113.5,93.9,98.2,0.5898,0.5683,5,5,-2,6,3,6,8,6,16,15,11,5,1,2,5,6,241.676,102.235,8,9
0,-19,3,Marquette,Murray St,0.5612,0.4742,24,27,9,4,0.6001,0.5816,0,0,12.3,8.9,27,49,0,0,18.42,13.33,27,52,114.2,112,95.7,98.7,0.5657,0.4816,6,11,8,0,6,1,4,2,9,18,9,18,0,0,8,11,33.612,42.551,5,12
1,7,8.5,Florida St,Vermont,0.5672,0.4603,27,27,7,6,0.6345,0.562,0,0,14.3,8,16,56,0,0,22.56,8.72,14,80,113,107.9,90.4,99.2,0.5789,0.4738,10,11,9,2,7,2,5,2,21,30,11,20,2,2,8,6,266.176,34.329,4,13
1,17,6,Buffalo,Arizona St,0.5273,0.5304,31,22,3,10,0.6411,0.5785,0,0,12.9,7.4,23,60,0,0,20.34,11.21,22,61,114.9,109.8,94.6,98.6,0.5406,0.5459,12,8,5,5,3,4,1,3,15,22,10,7,1,3,12,7,121.594,22.301,6,11
1,15,13,Texas Tech,Northern Kentucky,0.5826,0.4663,26,26,6,8,0.6192,0.5439,0,0,16.9,4.9,9,93,0,0,26.75,6.56,9,100,112.7,109.2,85.9,102.7,0.5569,0.4605,10,8,5,-2,5,0,5,2,7,41,7,21,0,4,10,6,191.688,33.35,3,14
0,-9,3,Nevada,Florida,0.4966,0.5652,29,19,4,15,0.6161,0.5652,0,0,13.2,11.6,20,31,0,0,18.92,18.32,25,28,114,110.2,95.1,91.9,0.5199,0.5746,9,7,3,-6,2,2,1,10,23,13,18,8,1,1,14,5,171.263,216.167,7,10
1,19,15,Michigan,Montana,0.5665,0.4628,28,26,6,8,0.6383,0.5518,0,0,17.9,2.1,6,120,0,0,29.44,3.55,5,137,115.5,107.4,86.1,103.8,0.5693,0.4769,8,10,14,2,9,1,4,0,10,41,10,21,0,4,17,10,435,42.773,2,15
1,15,22.5,Virginia,Gardner-Webb,0.5672,0.4599,29,23,3,11,0.6554,0.5155,0,0,23.7,1.8,1,141,0,0,35.66,-0.74,1,167,123.6,107.5,87.9,108.2,0.5738,0.4496,10,10,17,-2,10,0,3,2,12,54,12,19,0,7,16,8,90,4.508,1,16
0,-23,1,Ole Miss,Oklahoma,0.5652,0.5826,20,19,12,13,0.5602,0.5799,0,0,9,10.1,46,39,0,0,15.08,15.53,44,38,112.8,109.4,97.7,93.9,0.547,0.5783,6,4,0,-4,3,2,6,8,11,5,11,5,0,0,10,7,4.583,265,8,9
0,-18,1.5,Wisconsin,Oregon,0.5665,0.5304,23,23,10,12,0.605,0.5761,0,0,14.9,10.1,13,38,0,0,23.68,15.15,12,43,110.8,107.7,87.1,92.5,0.5735,0.551,8,9,0,7,4,5,8,3,8,21,8,11,0,2,6,8,176.818,252.556,5,12
0,-6,3.5,Kansas St,UC Irvine,0.5826,0.4616,25,30,8,5,0.6186,0.5613,0,0,12.6,5.6,25,82,0,0,20.22,9.46,23,75,108,106.6,87.7,97.1,0.5697,0.4629,9,12,7,0,6,1,5,2,5,33,5,23,0,2,6,16,266.03,5.281,4,13
1,4,3.5,Villanova,St Mary's,0.5612,0.5296,25,22,9,11,0.6224,0.5842,0,0,13.1,10.8,21,34,0,0,18.77,17.71,26,31,117,114.6,98.2,96.9,0.5775,0.5706,7,9,6,-1,5,2,4,5,7,17,7,12,0,1,11,5,465,64.99,6,11
1,13,12.5,Purdue,Old Dominion,0.5665,0.5001,23,26,9,8,0.6197,0.5619,0,0,16.7,3.5,10,114,0,0,26.05,5.58,10,112,121.1,101.9,95,96.4,0.5775,0.4938,9,10,5,4,6,2,7,0,11,24,6,14,1,2,8,8,200,6.279,3,14
0,-7,4.5,Cincinnati,Iowa,0.5456,0.5665,28,22,6,11,0.6281,0.5667,0,0,11.8,10.3,29,37,0,0,17.05,15.96,32,36,111.6,117.2,94.5,101.2,0.5626,0.5428,9,6,2,-2,3,3,4,8,13,11,8,11,1,0,9,6,120,43.373,7,10
1,7,17.5,Tennessee,Colgate,0.5652,0.4864,29,24,5,10,0.644,0.5469,0,0,17.2,2.4,8,136,0,0,26.98,4.29,8,129,122.5,110,95.5,105.8,0.5709,0.4774,8,11,7,-1,6,0,5,1,10,44,10,19,0,5,19,11,62.382,4.107,2,15
1,15,24.5,North Carolina,Iona,0.5672,0.4498,27,17,6,15,0.6532,0.4801,0,0,19.3,-0.9,5,179,0,0,29.17,-3.08,6,197,119.9,106.5,90.7,109.6,0.6039,0.4613,10,10,15,-1,10,0,5,1,9,67,9,17,0,10,8,10,370,90,1,16
0,-17,3.5,Utah St,Washington,0.4966,0.5304,28,26,6,8,0.6039,0.6064,0,0,9.3,8.4,44,51,0,0,16.62,13.37,34,51,113,107,96.3,93.6,0.5249,0.5552,11,8,1,-5,2,1,3,7,18,15,18,10,0,1,10,12,4.439,4.459,8,9
1,1,6,Auburn,New Mexico St,0.5652,0.498,26,30,9,4,0.6189,0.5826,0,0,15.6,7.7,12,58,0,0,23.33,13.59,13,49,119.6,112.6,96.2,99,0.5787,0.484,10,12,5,-2,5,0,5,2,7,25,7,20,0,1,8,19,62.397,71.353,5,12
1,34,7,Kansas,Northeastern,0.5826,0.49,25,23,9,10,0.6559,0.5743,0,0,13.5,5.7,19,80,0,0,20.71,8.75,20,79,112.7,111.5,92,102.7,0.6179,0.5252,8,11,13,-1,10,2,7,5,2,29,2,14,0,3,10,7,375,5.33,4,13
0,-3,5,Iowa St,Ohio St,0.5826,0.5665,23,19,11,14,0.5996,0.5567,0,0,14.3,9.9,15,40,0,0,21.85,15.08,16,45,119,109.3,97.1,94.2,0.5779,0.561,6,5,11,-6,7,2,3,10,3,18,3,8,0,2,5,6,121.677,82.794,6,11
1,29,12.5,Houston,Georgia St,0.5456,0.4916,31,24,3,9,0.6481,0.5724,0,0,14.8,4.1,14,103,0,0,22.42,5.6,15,111,114.1,107.9,91.7,102.3,0.5638,0.5096,10,9,11,-1,7,0,3,1,8,36,8,16,0,4,15,7,83.344,42.885,3,14
1,16,3,Wofford,Seton Hall,0.5057,0.5612,28,20,4,13,0.6126,0.5801,0,0,14.1,8.3,17,53,0,0,20.71,12.91,19,55,118.4,109.3,97.6,96.4,0.5205,0.5749,12,7,2,6,3,5,4,4,17,14,17,4,0,2,20,7,4.863,120,7,10
1,35,20.5,Kentucky,Abilene Christian,0.5652,0.4447,27,27,6,6,0.6426,0.5236,0,0,17.7,1.7,7,143,0,0,27.41,2.09,7,145,118.2,103.6,90.8,101.5,0.5878,0.4262,9,10,13,-1,9,0,5,1,8,38,8,23,0,3,10,7,290,4.184,2,15
0,-15,0,a,p,1,16,1,16,1,16,1,16,0,0,1,16,1,16,0,0,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,6,96,1,16,1,16,1,16,1,16,1,16
0,-1,0,h,i,8,9,8,9,8,9,8,9,0,0,8,9,8,9,0,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,48,54,8,9,8,9,8,9,8,9,8,9
0,-7,0,e,l,5,12,5,12,5,12,5,12,0,0,5,12,5,12,0,0,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,30,72,5,12,5,12,5,12,5,12,5,12
0,-9,0,d,m,4,13,4,13,4,13,4,13,0,0,4,13,4,13,0,0,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,24,78,4,13,4,13,4,13,4,13,4,13
0,-5,0,f,k,6,11,6,11,6,11,6,11,0,0,6,11,6,11,0,0,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,36,66,6,11,6,11,6,11,6,11,6,11
0,-11,0,c,n,3,14,3,14,3,14,3,14,0,0,3,14,3,14,0,0,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,18,84,3,14,3,14,3,14,3,14,3,14
0,-3,0,g,j,7,10,7,10,7,10,7,10,0,0,7,10,7,10,0,0,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,42,60,7,10,7,10,7,10,7,10,7,10
0,-13,0,b,o,2,15,2,15,2,15,2,15,0,0,2,15,2,15,0,0,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,12,90,2,15,2,15,2,15,2,15,2,15
0,-15,0,a,p,1,16,1,16,1,16,1,16,0,0,1,16,1,16,0,0,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,6,96,1,16,1,16,1,16,1,16,1,16
0,-1,0,h,i,8,9,8,9,8,9,8,9,0,0,8,9,8,9,0,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,48,54,8,9,8,9,8,9,8,9,8,9
0,-7,0,e,l,5,12,5,12,5,12,5,12,0,0,5,12,5,12,0,0,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,30,72,5,12,5,12,5,12,5,12,5,12
0,-9,0,d,m,4,13,4,13,4,13,4,13,0,0,4,13,4,13,0,0,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,24,78,4,13,4,13,4,13,4,13,4,13
0,-5,0,f,k,6,11,6,11,6,11,6,11,0,0,6,11,6,11,0,0,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,36,66,6,11,6,11,6,11,6,11,6,11
0,-11,0,c,n,3,14,3,14,3,14,3,14,0,0,3,14,3,14,0,0,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,18,84,3,14,3,14,3,14,3,14,3,14
0,-3,0,g,j,7,10,7,10,7,10,7,10,0,0,7,10,7,10,0,0,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,42,60,7,10,7,10,7,10,7,10,7,10
0,-13,0,b,o,2,15,2,15,2,15,2,15,0,0,2,15,2,15,0,0,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,12,90,2,15,2,15,2,15,2,15,2,15
0,-15,0,a,p,1,16,1,16,1,16,1,16,0,0,1,16,1,16,0,0,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,6,96,1,16,1,16,1,16,1,16,1,16
0,-1,0,h,i,8,9,8,9,8,9,8,9,0,0,8,9,8,9,0,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,48,54,8,9,8,9,8,9,8,9,8,9
0,-7,0,e,l,5,12,5,12,5,12,5,12,0,0,5,12,5,12,0,0,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,5,12,30,72,5,12,5,12,5,12,5,12,5,12
0,-9,0,d,m,4,13,4,13,4,13,4,13,0,0,4,13,4,13,0,0,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,4,13,24,78,4,13,4,13,4,13,4,13,4,13
0,-5,0,f,k,6,11,6,11,6,11,6,11,0,0,6,11,6,11,0,0,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,6,11,36,66,6,11,6,11,6,11,6,11,6,11
0,-11,0,c,n,3,14,3,14,3,14,3,14,0,0,3,14,3,14,0,0,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,3,14,18,84,3,14,3,14,3,14,3,14,3,14
0,-3,0,g,j,7,10,7,10,7,10,7,10,0,0,7,10,7,10,0,0,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,7,10,42,60,7,10,7,10,7,10,7,10,7,10
0,-13,0,b,o,2,15,2,15,2,15,2,15,0,0,2,15,2,15,0,0,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,2,15,12,90,2,15,2,15,2,15,2,15,2,15
0,-15,0,a,p,1,16,1,16,1,16,1,16,0,0,1,16,1,16,0,0,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,1,16,6,96,1,16,1,16,1,16,1,16,1,16
0,-1,0,h,i,8,9,8,9,8,9,8,9,0,0,8,9,8,9,0,0,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,8,9,48,54,8,9,8,9,8,9,8,9,8,9
