Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
0,-20,Michigan St,Duke,.5666,.5679,23,29,11,4,.6070,.6613,81.1,87.8,0,0,18,7,.8786,.9395,0,0,17,7,114.1,122.0,96.1,96.1,.5901,.5874,8,11,1,19,4,11,7,3,11,7,6,7,1,0,4,14,310.000,110.000,7,1
1,44,Villanova,Oklahoma,.5608,.5884,29,25,5,7,.6455,.6370,88.8,86.3,0,0,3,6,.9352,.9199,0,0,5,7,117.2,115.4,93.0,93.3,.5854,.5874,10,7,9,14,7,10,5,6,9,9,9,9,0,0,9,12,70.000,155.000,2,2
1,17,North Carolina,Syracuse,.5714,.5714,28,19,6,13,.6420,.5643,90.3,75.9,0,0,1,39,.9407,.8111,0,0,4,41,119.5,109.4,94.0,96.4,.5774,.5621,9,6,5,4,5,5,5,6,7,15,7,10,0,1,12,6,220.000,167.323,1,10
0,-4,South Carolina,Gonzaga,.5579,.5253,22,32,10,1,.5866,.6438,0,0,9.5,19.6,43,2,0,0,16.92,33.03,30,1,105.5,120.7,88.5,87.6,.5623,.5402,6,11,1,12,3,6,5,0,6,14,6,14,0,0,8,29,5.310,320.000,7,1
0,-1,Oregon,North Carolina,.5527,.5816,29,27,5,7,.6426,.6469,0,0,16.3,19.5,13,3,0,0,23.46,27.91,16,3,117.7,122.1,93.9,94.1,.5683,.5901,10,8,5,15,4,10,3,5,8,6,8,6,0,0,17,7,240.000,370.000,3,1
0,-12,Loyola-Chicago,Michigan,.5260,.5502,28,28,5,7,.5952,.6172,0,0,8.9,14.6,50,14,0,0,15.09,23.19,42,10,111.3,115.9,96.2,92.7,.5122,.5572,11,11,1,6,1,5,1,4,22,19,12,14,2,1,10,9,4.953,186.000,11,3
1,16,Villanova,Kansas,.5772,.5789,30,27,4,7,.6599,.6381,0,0,21.5,16.3,1,8,0,0,31.40,23.24,2,9,127.4,120.9,96.0,97.7,.5888,.6041,9,9,23,20,13,11,3,2,7,4,7,4,0,0,13,7,285.000,265.000,1,1
0,-10,Michigan St,Texas Tech,.5665,.5826,28,26,6,6,.6457,.6192,0,0,19.8,16.9,4,9,0,0,31.36,26.75,4,9,121.7,112.7,90.4,85.9,.5817,.5569,10,10,13,5,8,5,3,5,12,7,7,7,1,0,13,10,125.000,191.688,2,3
1,1,Virginia,Auburn,.5672,.5652,29,26,3,9,.6554,.6189,0,0,23.7,15.6,1,12,0,0,35.66,23.33,1,13,123.6,119.6,87.9,96.2,.5738,.5787,10,10,17,5,10,5,3,5,12,7,12,7,0,0,16,8,90.000,62.397,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,UCONN,Kentucky,.5451,.5494,26,24,8,10,.6087,.6173,79.7,84.9,0,0,28,10,.8688,.8844,0,0,25,17,110.1,116.0,91.8,95.4,.5693,.5966,9,7,10,2,7,4,4,6,13,6,13,6,0,0,9,5,212.667,332.545,7,8
0,-5,Wisconsin,Duke,.5666,.5679,31,29,3,4,.6678,.6613,91.8,87.8,0,0,2,7,.9615,.9395,0,0,3,7,124.7,122.0,94.3,96.1,.5838,.5874,11,11,16,19,9,11,2,3,10,7,5,7,1,0,10,14,295.000,110.000,1,1
1,3,Villanova,North Carolina,.5608,.5714,29,28,5,6,.6455,.6420,88.8,90.3,0,0,3,1,.9352,.9407,0,0,5,4,117.2,119.5,93.0,94.0,.5854,.5774,10,9,9,5,7,5,5,5,9,7,9,7,0,0,9,12,70.000,220.000,2,1
0,-6,Gonzaga,North Carolina,.5253,.5816,32,27,1,7,.6438,.6469,0,0,19.6,19.5,2,3,0,0,33.03,27.91,1,3,120.7,122.1,87.6,94.1,.5402,.5901,11,8,12,15,6,10,0,5,14,6,14,6,0,0,29,7,320.000,370.000,1,1
0,-17,Michigan,Villanova,.5502,.5772,28,30,7,4,.6172,.6599,0,0,14.6,21.5,14,1,0,0,23.19,31.40,10,2,115.9,127.4,92.7,96.0,.5572,.5888,11,9,6,23,5,13,4,3,19,7,14,7,1,0,9,13,186.000,285.000,3,1
0,-8,Texas Tech,Virginia,.5826,.5672,26,29,6,3,.6192,.6554,0,0,16.9,23.7,9,1,0,0,26.75,35.66,9,1,112.7,123.6,85.9,87.9,.5569,.5738,10,10,5,17,5,10,5,3,7,12,7,12,0,0,10,16,191.688,90.000,3,1
