Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,4,Michigan,Louisville,.5669,.5816,24,24,11,8,.6044,.6450,0,0,15.3,18.2,18,5,0,0,22.62,26.62,20,6,121.6,117.1,99.0,90.4,.5789,.6087,10,8,6,6,7,7,8,8,8,4,8,4,0,0,5,6,141.500,197.968,7,2
1,7,North Carolina,Arkansas,.5816,.5579,27,25,7,9,.6469,.6015,0,0,19.5,9.2,3,47,0,0,27.91,15.55,3,37,122.1,116.6,94.1,101.0,.5901,.5611,8,8,15,1,10,4,5,7,6,15,6,10,0,1,7,8,370.000,63.294,1,8
0,-9,Middle Tennesse St,Butler,.4710,.5715,30,23,4,8,.5953,.6254,0,0,9.3,13.3,45,25,0,0,14.65,20.80,46,26,111.6,118.0,97.0,97.1,.5013,.5904,11,7,3,16,2,10,1,4,30,10,20,5,2,1,10,8,103.038,160.903,12,4
0,-12,Cincinnati,UCLA,.5272,.5527,29,29,5,4,.6312,.6244,0,0,15.2,16.0,19,14,0,0,22.32,22.68,22,18,114.2,122.7,91.9,99.8,.5516,.5400,9,10,2,8,3,6,4,4,10,14,10,14,0,0,15,13,110.000,181.875,6,3
0,-3,Witchita St,Kentucky,.5032,.5579,30,29,4,5,.5986,.6519,0,0,15.6,17.1,15,9,0,0,26.42,27.15,8,4,119.6,119.2,93.2,91.9,.5078,.5863,12,11,0,12,2,8,4,4,23,8,23,8,0,0,15,11,215.000,370.000,10,2
0,-7,UMBC,Kansas St,.4675,.5789,24,22,10,11,.5253,.5690,0,0,-0.1,9.2,170,46,0,0,-1.99,14.75,184,44,103.3,112.2,105.3,97.4,.4692,.5487,10,6,-1,-3,0,3,1,9,32,8,17,8,3,0,5,4,3.394,62.483,16,9
1,20,Kentucky,Buffalo,.5747,.5098,24,26,10,8,.6153,.5959,0,0,12.5,6.4,22,81,0,0,20.39,10.57,18,76,116.4,114.3,96.0,103.7,.5945,.5388,7,10,7,-5,8,0,9,5,4,35,4,20,0,3,7,9,305.000,52.125,5,13
1,1,Loyola-Chicago,Tennessee,.5260,.5747,28,25,5,8,.5952,.6292,0,0,8.9,14.0,50,15,0,0,15.09,22.15,42,11,111.3,114.8,96.2,92.7,.5122,.5804,11,10,1,5,1,6,1,7,22,5,12,5,2,0,10,6,4.953,4.324,11,3
1,2,Nevada,Cincinnati,.5200,.5430,27,30,7,4,.6124,.6315,0,0,10.9,18.7,31,5,0,0,18.20,27.00,24,4,119.9,113.1,101.7,86.1,.5528,.5564,9,10,4,10,3,7,2,4,10,10,10,10,0,0,8,16,42.476,150.000,7,2
0,-5,Xavier,Florida St,.5772,.5755,28,20,5,11,.6467,.5699,0,0,14.8,10.3,13,39,0,0,21.68,15.82,14,35,120.7,115.8,99.0,100.0,.5883,.5451,10,6,12,6,8,6,4,6,8,17,8,12,0,1,10,9,320.000,62.795,1,9
