Win,Score,Top,Bottom,Tcon,Bcon,Twin,Bwin,Tloss,Bloss,Trpi,Brpi,Tbpi_o,Bbpi_o,Tbpi_n,Bbpi_n,Tbpi_r,Bbpi_r,Tken_o,Bken_o,Tken_n,Bken_n,Tken_r,Bken_r,Toff,Boff,Tdef,Bdef,Tsos,Bsos,T12,B12,Tvs50,Bvs50,Tw50,Bw50,Tl50,Bl50,Tvs150,Bvs150,Tw150,Bw150,Tl150,Bl150,Tstr,Bstr,This,Bhis,Tseed,Bseed
1,12,North Carolina,Butler,.5816,.5715,27,23,7,8,.6469,.6254,0,0,19.5,13.3,3,25,0,0,27.91,20.80,3,26,122.1,118.0,94.1,97.1,.5901,.5904,8,7,15,16,10,10,5,4,6,10,6,5,0,1,7,8,370.000,160.903,1,4
0,-11,UCLA,Kentucky,.5527,.5579,29,29,4,5,.6244,.6519,0,0,16.0,17.1,14,9,0,0,22.68,27.15,18,4,122.7,119.2,99.8,91.9,.5400,.5863,10,11,8,12,6,8,4,4,14,8,14,8,0,0,13,11,181.875,370.000,3,2
1,3,Kansas St,Kentucky,.5789,.5747,22,24,11,10,.5690,.6153,0,0,9.2,12.5,46,22,0,0,14.75,20.39,44,18,112.2,116.4,97.4,96.0,.5487,.5945,6,7,-3,7,3,8,9,9,8,4,8,4,0,0,4,7,62.483,305.000,9,5
1,1,Loyola-Chicago,Nevada,.5260,.5200,28,27,5,7,.5952,.6124,0,0,8.9,10.9,50,31,0,0,15.09,18.20,42,24,111.3,119.9,96.2,101.7,.5122,.5528,11,9,1,4,1,3,1,2,22,10,12,10,2,0,10,8,4.953,42.476,11,7
1,15,Florida St,Gonzaga,.5755,.5006,20,30,11,4,.5699,.5978,0,0,10.3,16.0,39,9,0,0,15.82,24.81,35,8,115.8,119.8,100.0,95.0,.5451,.5147,6,12,6,3,6,3,6,3,17,17,12,17,1,0,9,14,62.795,440.000,9,4
1,27,Michigan,Texas A&M,.5502,.5747,28,20,7,12,.6172,.5959,0,0,14.6,10.4,14,38,0,0,23.19,16.91,10,30,115.9,111.2,92.7,94.3,.5572,.5910,11,7,6,7,5,8,4,9,19,4,14,4,1,0,9,7,186.000,93.338,3,7
1,12,Villanova,West Virginia,.5772,.5789,30,24,4,10,.6599,.5942,0,0,21.5,15.5,1,10,0,0,31.40,21.77,2,13,127.4,119.1,96.0,97.4,.5888,.5682,9,8,23,7,13,7,3,7,7,8,7,8,0,0,13,15,285.000,190.000,1,5
1,13,Texas Tech,Purdue,.5789,.5502,24,28,9,6,.5983,.6233,0,0,14.8,19.3,12,4,0,0,21.95,26.66,12,5,114.0,123.2,92.1,96.6,.5589,.5652,7,8,7,5,6,5,5,5,8,14,8,14,0,0,8,19,18.063,155.000,3,2
1,4,Kansas,Clemson,.5789,.5755,27,23,7,9,.6381,.6199,0,0,16.3,13.2,8,18,0,0,23.24,20.26,9,19,120.9,113.8,97.7,93.5,.6041,.5868,9,7,20,4,11,5,2,6,4,9,4,9,0,0,7,10,265.000,4.738,1,5
0,-4,Syracuse,Duke,.5755,.5755,20,26,13,7,.5772,.6380,0,0,8.7,19.5,53,3,0,0,13.59,29.12,54,3,107.7,122.6,94.1,86.1,.5839,.5845,5,8,1,11,4,7,7,3,19,9,9,9,2,0,6,11,213.396,270.000,11,2
1,2,Duke,Virginia Tech,.5672,.5672,29,24,5,8,.6701,.6053,0,0,21.7,16.6,3,11,0,0,31.99,24.47,3,11,120.1,118.4,88.1,94.0,.6143,.5571,9,7,19,4,12,5,5,6,9,14,9,14,0,0,9,9,250.000,51.143,1,4
0,-17,LSU,Michigan St,.5652,.5665,26,28,6,6,.6249,.6457,0,0,12.9,19.8,24,4,0,0,20.97,31.36,18,4,118.5,121.7,97.5,90.4,.5709,.5817,9,10,10,13,6,8,2,3,7,12,7,7,0,1,10,13,4.301,125.000,3,2
1,14,Gonzaga,Florida St,.5296,.5672,30,27,3,7,.6432,.6345,0,0,22.8,14.3,2,16,0,0,32.79,22.56,2,14,125.1,113.0,92.3,90.4,.5537,.5789,11,10,5,9,4,7,3,5,15,21,15,11,0,2,21,8,380.000,266.176,1,4
1,19,Texas Tech,Michigan,.5826,.5665,26,28,6,6,.6192,.6383,0,0,16.9,17.9,9,6,0,0,26.75,29.44,9,5,112.7,115.5,85.9,86.1,.5569,.5693,10,8,5,14,5,9,5,4,7,10,7,10,0,0,10,17,191.688,435.000,3,2
1,4,Virginia,Oregon,.5672,.5304,29,23,3,12,.6554,.5761,0,0,23.7,10.1,1,38,0,0,35.66,15.15,1,43,123.6,107.7,87.9,92.5,.5738,.5510,10,9,17,7,10,5,3,3,12,21,12,11,0,2,16,8,90.000,252.556,1,12
1,5,Purdue,Tennessee,.5665,.5652,23,29,9,5,.6197,.6440,0,0,16.7,17.2,10,8,0,0,26.05,26.98,10,8,121.1,122.5,95.0,95.5,.5775,.5709,9,8,5,7,6,6,7,5,11,10,6,10,1,0,8,19,200.000,62.382,3,2
0,-17,North Carolina,Auburn,.5672,.5652,27,26,6,9,.6532,.6189,0,0,19.3,15.6,5,12,0,0,29.17,23.33,6,13,119.9,119.6,90.7,96.2,.6039,.5787,10,10,15,5,10,5,5,5,9,7,9,7,0,0,8,8,370.000,62.397,1,5
0,-4,Houston,Kentucky,.5456,.5652,31,27,3,6,.6481,.6426,0,0,14.8,17.7,14,7,0,0,22.42,27.41,15,7,114.1,118.2,91.7,90.8,.5638,.5878,10,9,11,13,7,9,3,5,8,8,8,8,0,0,15,10,83.344,290.000,3,2
